,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,DisNeg
residence_since,-0.285190124402352,0.20609736966397194,0.07987643991898143,-0.061939383014419196,0.1568148626643766,-0.029247908621597186,0.3336147842637835,-0.15031760606316572,-0.24621711897118445,0.08201940008732903,1.0,-0.002828646497675088,0.38687993306671237,0.1407168405737139,-0.13441925292739496,0.10321571154269576,0.09686524263053069,0.028854243558819673,0.060180296321801725,0.12210618017912739,0.16928898561936376
property_magnitude,0.051518331327340794,0.4216711799898625,0.11771837534573666,0.13570776035763804,0.48511583951629456,0.11733942389692706,-0.13796481987873016,-0.14007676378176573,0.16051689305230457,0.021149939194012247,-0.002828646497675088,1.0,0.1376720649215652,-0.08385030469967228,0.33571792673235024,0.05510145426945856,0.3260393606635397,0.140660312540046,0.31408871085009243,-0.04332242888591064,0.17894348307947705
age,-0.0487254187530908,0.17900073810195924,0.05426294133836859,0.08102998333180685,0.15428428735759034,0.09983926886896016,0.30600351008550586,-0.12622423500809624,0.15915648799099338,0.31894346415670266,0.38687993306671237,0.1376720649215652,1.0,-0.18406964931249273,0.032250638948168736,0.1877972268020102,-0.011957050924117333,0.2843818474280511,0.24997620899233808,0.11349454746484772,0.0850058924996313
other_payment_plans,-0.08717857007920209,-0.04173086062802034,-0.12248993341342271,-0.06717757707874278,0.08108786632161492,0.062485192804622294,-0.045625974265225806,-0.035478751134588184,-0.20269698618118095,-0.25809869858009943,0.1407168405737139,-0.08385030469967228,-0.18406964931249273,1.0,-0.05010265255666057,0.028525792100888743,0.07514737254499566,-0.04165103991281427,-0.01997014510689743,0.056101277721150346,-0.2265413695032825
housing,0.038202533124853034,0.2880292988379019,-0.08974668209711166,0.015218164133087037,0.32320063391080806,0.1726470581194485,0.021052722700693676,-0.006086050643255774,0.2240784095444956,-0.18553097628857085,-0.13441925292739496,0.33571792673235024,0.032250638948168736,-0.05010265255666057,1.0,-0.02437267883018339,0.07952727663336004,0.2774186296803244,0.1515012792364389,0.013531440462311396,-0.0633188715382267
existing_credits,0.1610273969974564,0.09361309532313339,0.4122859789786613,0.025189279573899,0.074507992902749,0.03654068568632231,0.06117585743489922,-0.1305843606079503,0.2554529268651342,-0.014322914481163495,0.10321571154269576,0.05510145426945856,0.1877972268020102,0.028525792100888743,-0.02437267883018339,1.0,0.009036266301514814,0.15835845219250227,0.0759270663063325,-0.06894502533266926,0.04239303495908353
job,0.0030902703364669853,0.21607464578247443,0.04309487552629817,0.052022941843167234,0.23702483460252555,-0.06400957417156876,-0.04049040636785995,-0.00782228080178762,-0.22032727429370527,-0.05690506092536158,0.09686524263053069,0.3260393606635397,-0.011957050924117333,0.07514737254499566,0.07952727663336004,0.009036266301514814,1.0,-0.30301399265690127,0.3756923774413264,0.16304712584757805,0.02187984746819183
num_dependents,-0.003705135375510889,0.12735267089690228,-0.04157652617470175,0.1527241933626926,-0.023674824927263093,0.09696277616689859,0.08773500588263607,0.0024734939866256464,0.3059577554578463,0.10410829467682857,0.028854243558819673,0.140660312540046,0.2843818474280511,-0.04165103991281427,0.2774186296803244,0.15835845219250227,-0.30301399265690127,1.0,0.056778548860111314,-0.05155735207414556,0.026781500708291044
own_telephone,-0.11229868921711413,0.06498899968092332,0.06717032322005406,0.16793835406958713,0.38091506848477513,0.11111325079887831,-0.07067040216823144,-0.13786664018994937,0.1466955155468769,0.17378200102629487,0.060180296321801725,0.31408871085009243,0.24997620899233808,-0.01997014510689743,0.1515012792364389,0.0759270663063325,0.3756923774413264,0.056778548860111314,1.0,0.1409031919754908,0.17835694267597801
foreign_worker,-0.0948858244776711,-0.09378961448566574,-0.047811055729505766,-0.11379377564806456,0.17241379633448708,-0.0744893197685634,0.17385305563227446,-0.26713676497397526,-0.2969634015160059,-0.04532596090993365,0.12210618017912739,-0.04332242888591064,0.11349454746484772,0.056101277721150346,0.013531440462311396,-0.06894502533266926,0.16304712584757805,-0.05155735207414556,0.1409031919754908,1.0,0.1412519768304699
DisNeg,-0.5419856529696553,0.17473742856496158,-0.050104024486898525,0.32455916470097557,-0.008279234049462661,-0.3686509202167296,0.06695451355247305,0.1437212477819107,-0.008876000183615528,0.14545838091870555,0.16928898561936376,0.17894348307947705,0.0850058924996313,-0.2265413695032825,-0.0633188715382267,0.04239303495908353,0.02187984746819183,0.026781500708291044,0.17835694267597801,0.1412519768304699,1.0
